customer_id,segment,country,onboarding_date,kyc_status
CUS000001,RETAIL,AE,2023-10-08,VERIFIED
CUS000002,SME,IN,2024-07-23,VERIFIED
CUS000003,RETAIL,IN,2023-08-07,VERIFIED
CUS000004,RETAIL,SG,2024-10-15,VERIFIED
CUS000005,RETAIL,AE,2022-11-18,VERIFIED
CUS000006,RETAIL,IN,2023-02-18,VERIFIED
CUS000007,SME,IN,2021-06-24,VERIFIED
CUS000008,RETAIL,IN,2021-12-02,VERIFIED
CUS000009,RETAIL,IN,2023-03-16,VERIFIED
CUS000010,SME,SG,2022-12-20,VERIFIED
CUS000011,RETAIL,IN,2022-05-12,VERIFIED
CUS000012,RETAIL,SG,2023-11-17,VERIFIED
CUS000013,RETAIL,AE,2022-09-13,VERIFIED
CUS000014,SME,SG,2024-12-09,VERIFIED
CUS000015,RETAIL,IN,2021-05-28,VERIFIED
CUS000016,RETAIL,IN,2021-05-26,VERIFIED
CUS000017,RETAIL,SG,2021-08-05,VERIFIED
CUS000018,RETAIL,SG,2024-03-11,VERIFIED
CUS000019,RETAIL,IN,2021-12-25,VERIFIED
CUS000020,RETAIL,AE,2022-10-20,PENDING
CUS000021,RETAIL,IN,2021-03-27,VERIFIED
CUS000022,RETAIL,AE,2024-12-11,VERIFIED
CUS000023,RETAIL,IN,2023-06-25,VERIFIED
CUS000024,RETAIL,IN,2024-08-18,PENDING
CUS000025,RETAIL,IN,2021-05-18,VERIFIED
CUS000026,SME,IN,2024-05-08,VERIFIED
CUS000027,RETAIL,IN,2024-11-08,PENDING
CUS000028,SME,IN,2024-07-28,VERIFIED
CUS000029,SME,IN,2021-04-21,VERIFIED
CUS000030,SME,SG,2022-12-20,VERIFIED
CUS000031,RETAIL,IN,2024-08-04,VERIFIED
CUS000032,RETAIL,SG,2023-06-26,VERIFIED
CUS000033,RETAIL,SG,2023-05-17,VERIFIED
CUS000034,RETAIL,IN,2021-12-07,VERIFIED
CUS000035,RETAIL,IN,2024-02-29,VERIFIED
CUS000036,RETAIL,AE,2024-07-23,VERIFIED
CUS000037,RETAIL,SG,2022-02-17,VERIFIED
CUS000038,SME,IN,2023-05-09,PENDING
CUS000039,RETAIL,SG,2024-07-12,VERIFIED
CUS000040,SME,IN,2023-05-13,VERIFIED
CUS000041,SME,IN,2023-05-16,VERIFIED
CUS000042,RETAIL,SG,2024-02-13,REJECTED
CUS000043,RETAIL,IN,2024-03-27,VERIFIED
CUS000044,RETAIL,SG,2024-08-20,PENDING
CUS000045,SME,IN,2021-10-13,VERIFIED
CUS000046,RETAIL,SG,2024-12-18,VERIFIED
CUS000047,RETAIL,IN,2023-01-21,VERIFIED
CUS000048,RETAIL,IN,2024-12-06,VERIFIED
CUS000049,RETAIL,IN,2021-12-03,VERIFIED
CUS000050,SME,IN,2023-06-23,VERIFIED
CUS000051,SME,SG,2021-03-30,VERIFIED
CUS000052,RETAIL,IN,2024-10-18,VERIFIED
CUS000053,RETAIL,IN,2023-09-25,VERIFIED
CUS000054,RETAIL,IN,2023-06-29,VERIFIED
CUS000055,RETAIL,IN,2024-09-27,VERIFIED
CUS000056,RETAIL,SG,2023-04-30,VERIFIED
CUS000057,RETAIL,IN,2023-03-31,VERIFIED
CUS000058,SME,AE,2023-04-19,VERIFIED
CUS000059,SME,IN,2022-12-17,VERIFIED
CUS000060,RETAIL,SG,2024-04-08,VERIFIED
CUS000061,RETAIL,IN,2024-02-02,VERIFIED
CUS000062,RETAIL,IN,2023-02-03,VERIFIED
CUS000063,SME,AE,2022-07-15,VERIFIED
CUS000064,SME,AE,2023-07-02,VERIFIED
CUS000065,RETAIL,AE,2023-04-03,VERIFIED
CUS000066,RETAIL,IN,2021-03-18,VERIFIED
CUS000067,RETAIL,IN,2022-07-12,VERIFIED
CUS000068,RETAIL,SG,2024-10-30,VERIFIED
CUS000069,RETAIL,IN,2023-08-16,VERIFIED
CUS000070,RETAIL,SG,2024-10-18,VERIFIED
CUS000071,RETAIL,IN,2021-08-25,VERIFIED
CUS000072,RETAIL,IN,2021-11-04,VERIFIED
CUS000073,RETAIL,SG,2023-03-21,VERIFIED
CUS000074,RETAIL,SG,2023-12-26,VERIFIED
CUS000075,RETAIL,IN,2022-04-01,VERIFIED
CUS000076,RETAIL,IN,2024-04-19,VERIFIED
CUS000077,SME,IN,2022-01-19,VERIFIED
CUS000078,RETAIL,IN,2021-08-26,VERIFIED
CUS000079,RETAIL,IN,2024-04-25,VERIFIED
CUS000080,RETAIL,IN,2022-12-18,VERIFIED
CUS000081,RETAIL,SG,2024-05-30,VERIFIED
CUS000082,RETAIL,SG,2022-08-23,PENDING
CUS000083,RETAIL,IN,2022-06-02,VERIFIED
CUS000084,RETAIL,IN,2024-12-21,PENDING
CUS000085,RETAIL,IN,2021-05-20,REJECTED
CUS000086,RETAIL,IN,2024-01-02,VERIFIED
CUS000087,RETAIL,IN,2023-03-25,VERIFIED
CUS000088,RETAIL,IN,2024-01-05,VERIFIED
CUS000089,RETAIL,SG,2021-07-14,VERIFIED
CUS000090,RETAIL,IN,2022-02-01,VERIFIED
CUS000091,RETAIL,IN,2021-03-18,PENDING
CUS000092,RETAIL,IN,2023-07-12,VERIFIED
CUS000093,RETAIL,AE,2022-11-06,VERIFIED
CUS000094,SME,SG,2022-10-16,VERIFIED
CUS000095,RETAIL,IN,2024-02-14,VERIFIED
CUS000096,RETAIL,AE,2021-06-07,VERIFIED
CUS000097,SME,IN,2021-09-10,VERIFIED
CUS000098,SME,IN,2021-03-25,VERIFIED
CUS000099,RETAIL,AE,2023-04-02,VERIFIED
CUS000100,SME,IN,2024-07-07,VERIFIED
CUS000101,RETAIL,IN,2024-05-24,VERIFIED
CUS000102,SME,IN,2022-11-15,VERIFIED
CUS000103,RETAIL,IN,2021-11-13,VERIFIED
CUS000104,RETAIL,SG,2022-04-29,VERIFIED
CUS000105,SME,IN,2022-03-13,VERIFIED
CUS000106,RETAIL,IN,2022-01-03,VERIFIED
CUS000107,SME,IN,2021-10-10,VERIFIED
CUS000108,RETAIL,IN,2021-06-23,VERIFIED
CUS000109,RETAIL,IN,2023-08-12,VERIFIED
CUS000110,SME,IN,2022-03-19,VERIFIED
CUS000111,RETAIL,AE,2023-12-09,VERIFIED
CUS000112,SME,IN,2022-05-12,VERIFIED
CUS000113,SME,IN,2024-10-16,PENDING
CUS000114,RETAIL,IN,2024-10-18,VERIFIED
CUS000115,RETAIL,IN,2024-03-28,VERIFIED
CUS000116,RETAIL,IN,2022-12-01,VERIFIED
CUS000117,RETAIL,IN,2021-07-07,VERIFIED
CUS000118,RETAIL,IN,2022-09-16,VERIFIED
CUS000119,RETAIL,AE,2022-11-08,VERIFIED
CUS000120,SME,AE,2022-05-02,VERIFIED
CUS000121,RETAIL,IN,2021-08-10,VERIFIED
CUS000122,RETAIL,IN,2022-10-08,VERIFIED
CUS000123,RETAIL,IN,2022-03-05,VERIFIED
CUS000124,RETAIL,IN,2023-06-08,VERIFIED
CUS000125,RETAIL,IN,2021-03-10,VERIFIED
CUS000126,RETAIL,AE,2023-02-19,VERIFIED
CUS000127,RETAIL,SG,2021-07-31,VERIFIED
CUS000128,RETAIL,SG,2021-04-18,PENDING
CUS000129,SME,IN,2021-08-15,VERIFIED
CUS000130,SME,AE,2023-09-29,VERIFIED
CUS000131,RETAIL,IN,2023-07-29,VERIFIED
CUS000132,SME,IN,2021-12-30,VERIFIED
CUS000133,SME,IN,2021-06-11,VERIFIED
CUS000134,RETAIL,AE,2022-09-04,VERIFIED
CUS000135,SME,IN,2022-01-09,VERIFIED
CUS000136,RETAIL,SG,2023-04-21,VERIFIED
CUS000137,RETAIL,IN,2021-09-20,VERIFIED
CUS000138,RETAIL,AE,2023-06-01,VERIFIED
CUS000139,SME,IN,2022-08-15,VERIFIED
CUS000140,SME,IN,2022-12-11,VERIFIED
CUS000141,SME,AE,2021-10-19,VERIFIED
CUS000142,SME,IN,2021-12-09,REJECTED
CUS000143,RETAIL,IN,2021-10-15,VERIFIED
CUS000144,RETAIL,IN,2024-07-14,VERIFIED
CUS000145,RETAIL,IN,2024-01-24,VERIFIED
CUS000146,RETAIL,IN,2021-07-07,PENDING
CUS000147,RETAIL,IN,2024-07-03,VERIFIED
CUS000148,SME,IN,2022-01-14,PENDING
CUS000149,RETAIL,AE,2022-07-28,PENDING
CUS000150,RETAIL,IN,2023-09-01,PENDING
CUS000151,SME,IN,2024-11-09,VERIFIED
CUS000152,SME,IN,2024-12-18,VERIFIED
CUS000153,RETAIL,IN,2021-08-01,PENDING
CUS000154,RETAIL,SG,2024-08-07,VERIFIED
CUS000155,RETAIL,AE,2022-02-24,VERIFIED
CUS000156,RETAIL,AE,2024-06-13,VERIFIED
CUS000157,RETAIL,IN,2023-06-26,VERIFIED
CUS000158,RETAIL,IN,2024-08-09,VERIFIED
CUS000159,RETAIL,IN,2022-07-25,REJECTED
CUS000160,RETAIL,IN,2024-08-11,VERIFIED
CUS000161,RETAIL,IN,2022-08-09,VERIFIED
CUS000162,RETAIL,SG,2021-04-28,VERIFIED
CUS000163,RETAIL,IN,2022-02-28,VERIFIED
CUS000164,RETAIL,IN,2022-06-25,VERIFIED
CUS000165,RETAIL,IN,2021-07-13,VERIFIED
CUS000166,RETAIL,IN,2021-11-10,VERIFIED
CUS000167,RETAIL,IN,2022-03-12,VERIFIED
CUS000168,SME,IN,2022-11-06,PENDING
CUS000169,RETAIL,SG,2023-07-05,VERIFIED
CUS000170,RETAIL,IN,2022-08-18,VERIFIED
CUS000171,RETAIL,IN,2024-08-05,VERIFIED
CUS000172,RETAIL,IN,2021-08-17,VERIFIED
CUS000173,RETAIL,SG,2021-08-11,VERIFIED
CUS000174,RETAIL,IN,2024-01-01,VERIFIED
CUS000175,SME,SG,2022-02-07,VERIFIED
CUS000176,RETAIL,AE,2022-05-05,VERIFIED
CUS000177,RETAIL,IN,2021-09-24,VERIFIED
CUS000178,RETAIL,SG,2021-07-22,PENDING
CUS000179,SME,IN,2022-02-25,VERIFIED
CUS000180,SME,AE,2021-06-01,VERIFIED
CUS000181,RETAIL,IN,2023-10-04,VERIFIED
CUS000182,RETAIL,AE,2023-04-21,VERIFIED
CUS000183,SME,IN,2024-06-07,VERIFIED
CUS000184,SME,IN,2021-09-20,VERIFIED
CUS000185,RETAIL,IN,2023-12-10,PENDING
CUS000186,SME,SG,2023-01-27,VERIFIED
CUS000187,RETAIL,IN,2024-05-19,VERIFIED
CUS000188,RETAIL,IN,2024-01-06,VERIFIED
CUS000189,RETAIL,SG,2022-06-01,PENDING
CUS000190,RETAIL,AE,2024-01-16,VERIFIED
CUS000191,SME,IN,2023-01-11,VERIFIED
CUS000192,RETAIL,IN,2023-04-10,VERIFIED
CUS000193,RETAIL,IN,2022-08-25,VERIFIED
CUS000194,RETAIL,SG,2024-01-06,VERIFIED
CUS000195,RETAIL,IN,2023-02-23,VERIFIED
CUS000196,RETAIL,AE,2024-11-21,VERIFIED
CUS000197,RETAIL,IN,2023-01-07,VERIFIED
CUS000198,RETAIL,IN,2024-08-07,VERIFIED
CUS000199,RETAIL,IN,2022-03-19,VERIFIED
CUS000200,RETAIL,IN,2021-10-01,VERIFIED
CUS000201,RETAIL,SG,2023-06-19,PENDING
CUS000202,RETAIL,IN,2021-08-15,VERIFIED
CUS000203,SME,IN,2023-07-02,VERIFIED
CUS000204,RETAIL,AE,2021-08-28,VERIFIED
CUS000205,RETAIL,AE,2023-01-05,VERIFIED
CUS000206,RETAIL,AE,2022-11-18,VERIFIED
CUS000207,RETAIL,IN,2023-06-09,VERIFIED
CUS000208,SME,IN,2021-06-02,VERIFIED
CUS000209,RETAIL,AE,2022-04-19,VERIFIED
CUS000210,RETAIL,IN,2023-02-03,VERIFIED
CUS000211,RETAIL,IN,2021-12-15,VERIFIED
CUS000212,RETAIL,SG,2023-03-26,VERIFIED
CUS000213,RETAIL,IN,2021-08-24,VERIFIED
CUS000214,RETAIL,IN,2023-03-09,VERIFIED
CUS000215,RETAIL,AE,2021-11-25,PENDING
CUS000216,RETAIL,IN,2024-01-12,VERIFIED
CUS000217,RETAIL,IN,2022-11-01,PENDING
CUS000218,SME,IN,2022-08-27,VERIFIED
CUS000219,SME,IN,2022-12-25,VERIFIED
CUS000220,RETAIL,IN,2023-04-14,VERIFIED
CUS000221,RETAIL,SG,2024-12-31,VERIFIED
CUS000222,RETAIL,AE,2021-04-08,VERIFIED
CUS000223,RETAIL,IN,2024-03-05,VERIFIED
CUS000224,SME,IN,2024-05-06,VERIFIED
CUS000225,RETAIL,AE,2021-11-23,VERIFIED
CUS000226,RETAIL,IN,2024-09-16,VERIFIED
CUS000227,RETAIL,IN,2022-01-29,VERIFIED
CUS000228,RETAIL,IN,2023-08-29,VERIFIED
CUS000229,RETAIL,SG,2022-03-30,VERIFIED
CUS000230,SME,IN,2024-03-06,VERIFIED
CUS000231,RETAIL,SG,2022-04-24,VERIFIED
CUS000232,RETAIL,IN,2021-03-15,VERIFIED
CUS000233,SME,IN,2023-01-26,VERIFIED
CUS000234,RETAIL,IN,2022-11-11,VERIFIED
CUS000235,RETAIL,IN,2022-08-27,VERIFIED
CUS000236,RETAIL,IN,2023-08-17,VERIFIED
CUS000237,RETAIL,IN,2022-11-22,VERIFIED
CUS000238,RETAIL,IN,2022-07-17,VERIFIED
CUS000239,RETAIL,IN,2024-11-28,VERIFIED
CUS000240,RETAIL,IN,2023-04-08,VERIFIED
CUS000241,RETAIL,IN,2022-12-26,VERIFIED
CUS000242,RETAIL,AE,2024-03-15,VERIFIED
CUS000243,SME,IN,2023-03-14,VERIFIED
CUS000244,RETAIL,SG,2023-06-29,VERIFIED
CUS000245,RETAIL,AE,2022-11-18,VERIFIED
CUS000246,SME,IN,2023-11-28,VERIFIED
CUS000247,RETAIL,SG,2021-07-24,VERIFIED
CUS000248,RETAIL,AE,2022-07-24,VERIFIED
CUS000249,RETAIL,SG,2022-08-08,VERIFIED
CUS000250,RETAIL,IN,2021-11-15,VERIFIED
CUS000251,SME,IN,2024-12-03,VERIFIED
CUS000252,RETAIL,IN,2023-12-31,PENDING
CUS000253,SME,IN,2024-04-23,VERIFIED
CUS000254,RETAIL,AE,2022-08-16,VERIFIED
CUS000255,RETAIL,AE,2023-09-10,PENDING
CUS000256,RETAIL,IN,2022-04-16,VERIFIED
CUS000257,RETAIL,SG,2021-05-23,VERIFIED
CUS000258,RETAIL,IN,2023-08-02,VERIFIED
CUS000259,RETAIL,AE,2023-09-27,VERIFIED
CUS000260,RETAIL,IN,2023-02-19,VERIFIED
CUS000261,SME,AE,2023-02-17,VERIFIED
CUS000262,SME,AE,2023-08-18,VERIFIED
CUS000263,RETAIL,IN,2023-09-05,VERIFIED
CUS000264,SME,IN,2023-07-29,VERIFIED
CUS000265,RETAIL,AE,2023-02-19,VERIFIED
CUS000266,RETAIL,IN,2023-04-18,VERIFIED
CUS000267,RETAIL,IN,2023-04-03,VERIFIED
CUS000268,RETAIL,AE,2023-11-15,PENDING
CUS000269,RETAIL,IN,2022-07-29,VERIFIED
CUS000270,RETAIL,IN,2023-02-18,VERIFIED
CUS000271,SME,IN,2024-02-16,VERIFIED
CUS000272,RETAIL,IN,2022-02-13,VERIFIED
CUS000273,SME,AE,2021-08-18,VERIFIED
CUS000274,RETAIL,IN,2023-06-29,VERIFIED
CUS000275,RETAIL,IN,2023-01-01,VERIFIED
CUS000276,RETAIL,IN,2021-05-19,VERIFIED
CUS000277,RETAIL,AE,2023-10-17,VERIFIED
CUS000278,RETAIL,IN,2024-03-02,VERIFIED
CUS000279,RETAIL,AE,2023-09-05,VERIFIED
CUS000280,RETAIL,SG,2023-04-13,VERIFIED
CUS000281,RETAIL,AE,2023-04-21,VERIFIED
CUS000282,RETAIL,AE,2022-09-12,VERIFIED
CUS000283,RETAIL,AE,2023-12-11,VERIFIED
CUS000284,SME,AE,2022-12-03,VERIFIED
CUS000285,RETAIL,IN,2024-08-04,VERIFIED
CUS000286,RETAIL,SG,2021-05-17,VERIFIED
CUS000287,RETAIL,IN,2023-11-16,VERIFIED
CUS000288,RETAIL,IN,2023-10-05,VERIFIED
CUS000289,RETAIL,AE,2024-05-21,VERIFIED
CUS000290,RETAIL,AE,2023-07-23,VERIFIED
CUS000291,SME,SG,2021-04-08,VERIFIED
CUS000292,RETAIL,IN,2022-09-21,VERIFIED
CUS000293,RETAIL,IN,2022-06-13,PENDING
CUS000294,RETAIL,IN,2022-09-20,VERIFIED
CUS000295,RETAIL,IN,2023-09-22,VERIFIED
CUS000296,RETAIL,IN,2021-12-26,VERIFIED
CUS000297,RETAIL,IN,2023-09-10,VERIFIED
CUS000298,RETAIL,IN,2021-12-16,VERIFIED
CUS000299,RETAIL,SG,2021-03-23,VERIFIED
CUS000300,RETAIL,IN,2024-12-17,VERIFIED
CUS000301,RETAIL,AE,2024-05-12,VERIFIED
CUS000302,RETAIL,IN,2022-01-28,VERIFIED
