txn_month,attempted_volume,successful_volume,gross_payment_value_usd,merchant_revenue_usd,processing_cost_usd,chargeback_cost_usd,fx_impact_usd,contribution_usd,success_rate,contribution_per_successful_txn,effective_take_rate,cost_per_successful_txn
2025-01,16380,14782,2955465.089916015,43446.22091122712,15908.54392863889,3717.6740874809,-92.99719237801578,23831.311522544842,0.9024,1.6122,0.0147,1.0762
2025-02,17197,15481,3060586.9200032554,45352.46346939134,16675.28953821307,3259.6992487795,-246.23527786794293,25420.573093720177,0.9002,1.642,0.01482,1.0771
2025-03,18027,16209,3113416.4027830097,46023.01351882731,16829.424274572237,2325.1328913642,-384.6975832865079,26870.321871807086,0.8992,1.6577,0.01478,1.0383
2025-04,18925,17016,3122948.856582601,46311.15570469029,17091.313244241188,2763.0134797518,-544.0022660572572,26465.35244024006,0.8991,1.5553,0.01483,1.0044
2025-05,19862,17869,3225544.892562345,48035.136717187146,17895.920232148816,2640.0542972675,-730.7299267799951,27506.824694799878,0.8997,1.5394,0.01489,1.0015
2025-06,20855,18794,3238322.633303813,48607.082862847215,18134.436772612455,3649.637469125,-883.3766202946641,26825.04105734774,0.9012,1.4273,0.01501,0.9649
2025-07,21876,19697,3407505.920878347,50845.71261639376,20223.700610700696,3275.1788611991,-1063.2319461490317,27348.31506881834,0.9004,1.3885,0.01492,1.0267
2025-08,22968,20317,3367309.413639054,50510.03380373487,20439.71812731307,2636.3022771249,-1231.119111124346,27442.62138352744,0.8846,1.3507,0.015,1.006
2025-09,24103,21423,3412778.7840504255,51491.55669336307,21281.296408948165,3131.3156242718,-1441.0215220485306,27078.94466014311,0.8888,1.264,0.01509,0.9934
2025-10,25293,22746,3485371.77095116,52929.23057407903,22275.80100044228,4605.0541674167,-1753.6367621527556,26048.375406220053,0.8993,1.1452,0.01519,0.9793
2025-11,26543,23898,3545569.3790659998,54092.353130461765,23097.13010038704,5295.5081041636,-1963.677332969961,25705.225888765908,0.9004,1.0756,0.01526,0.9665
2025-12,27868,24976,3599164.285075994,54790.47172221402,24157.659297934373,3734.4109075542997,-2147.152520524229,26938.181265058098,0.8962,1.0786,0.01522,0.9672
